timestamp,dpid,port_no,rx_bytes,tx_bytes,delay_ms
1758866728.2319112,1,4294967294,0,0,0
1758866728.2319112,1,1,266,442,0
1758866728.2319112,1,2,176,532,0
1758866728.2319112,1,3,180,528,0
1758866729.2319422,1,4294967294,0,0,0
1758866729.2319422,1,1,426,1347,0
1758866729.2319422,1,2,426,1347,0
1758866729.2319422,1,3,266,1507,0
1758866730.233244,1,4294967294,0,0,0
1758866730.233244,1,1,516,2618,0
1758866730.233244,1,2,516,2618,0
1758866730.233244,1,3,516,2618,0
1758866731.234115,1,4294967294,0,0,0
1758866731.234115,1,1,992,3336,0
1758866731.234115,1,2,992,3336,0
1758866731.234115,1,3,992,3336,0
1758866732.236048,1,4294967294,0,0,0
1758866732.236048,1,1,992,3443,0
1758866732.236048,1,2,992,3443,0
1758866732.236048,1,3,992,3443,0
1758866733.2364306,1,4294967294,0,0,0
1758866733.2364306,1,1,1062,3713,0
1758866733.2364306,1,2,1062,3783,0
1758866733.2364306,1,3,992,3853,0
1758866734.237086,1,4294967294,0,0,0
1758866734.237086,1,1,1062,3853,0
1758866734.237086,1,2,1062,3853,0
1758866734.237086,1,3,1062,3853,0
1758866735.2373235,1,4294967294,0,0,0
1758866735.2373235,1,1,1062,3853,0
1758866735.2373235,1,2,1062,3853,0
1758866735.2373235,1,3,1062,3853,0
1758866736.2381089,1,4294967294,0,0,0
1758866736.2381089,1,1,1146,4044,0
1758866736.2381089,1,2,1146,4044,0
1758866736.2381089,1,3,1146,4044,0
1758866737.2390804,1,4294967294,0,0,0
1758866737.2390804,1,1,1146,4044,0
1758866737.2390804,1,2,1146,4044,0
1758866737.2390804,1,3,1146,4044,0
1758866738.2399168,1,4294967294,0,0,0
1758866738.2399168,1,1,1146,4044,0
1758866738.2399168,1,2,1146,4044,0
1758866738.2399168,1,3,1146,4044,0
1758866739.2414887,1,4294967294,0,0,0
1758866739.2414887,1,1,1146,4044,0
1758866739.2414887,1,2,1146,4044,0
1758866739.2414887,1,3,1146,4044,0
1758866740.2422595,1,4294967294,0,0,0
1758866740.2422595,1,1,1146,4044,0
1758866740.2422595,1,2,1146,4044,0
1758866740.2422595,1,3,1146,4044,0
1758866741.2431893,1,4294967294,0,0,0
1758866741.2431893,1,1,1146,4114,0
1758866741.2431893,1,2,1216,4114,0
1758866741.2431893,1,3,1146,4184,0
1758866742.2440107,1,4294967294,0,0,0
1758866742.2440107,1,1,1216,4254,0
1758866742.2440107,1,2,1216,4254,0
1758866742.2440107,1,3,1216,4254,0
1758866743.244986,1,4294967294,0,0,0
1758866743.244986,1,1,1216,4254,0
1758866743.244986,1,2,1216,4254,0
1758866743.244986,1,3,1216,4254,0
1758866744.2458436,1,4294967294,0,0,0
1758866744.2458436,1,1,1216,4361,0
1758866744.2458436,1,2,1216,4361,0
1758866744.2458436,1,3,1216,4361,0
1758866745.2461915,1,4294967294,0,0,0
1758866745.2461915,1,1,1216,4361,0
1758866745.2461915,1,2,1216,4361,0
1758866745.2461915,1,3,1216,4361,0
1758866746.2472029,1,4294967294,0,0,0
1758866746.2472029,1,1,1216,4361,0
1758866746.2472029,1,2,1216,4361,0
1758866746.2472029,1,3,1216,4361,0
1758866747.24846,1,4294967294,0,0,0
1758866747.24846,1,1,1216,4361,0
1758866747.24846,1,2,1216,4361,0
1758866747.24846,1,3,1216,4361,0
1758866748.2493935,1,4294967294,0,0,0
1758866748.2493935,1,1,1216,4361,0
1758866748.2493935,1,2,1216,4361,0
1758866748.2493935,1,3,1216,4361,0
1758866749.2503111,1,4294967294,0,0,0
1758866749.2503111,1,1,1216,4361,0
1758866749.2503111,1,2,1216,4361,0
1758866749.2503111,1,3,1216,4361,0
1758866750.2511578,1,4294967294,0,0,0
1758866750.2511578,1,1,1216,4361,0
1758866750.2511578,1,2,1216,4361,0
1758866750.2511578,1,3,1216,4361,0
1758866751.252035,1,4294967294,0,0,0
1758866751.252035,1,1,1216,4361,0
1758866751.252035,1,2,1216,4361,0
1758866751.252035,1,3,1216,4361,0
1758866752.2530286,1,4294967294,0,0,0
1758866752.2530286,1,1,1216,4361,0
1758866752.2530286,1,2,1216,4361,0
1758866752.2530286,1,3,1216,4361,0
1758866753.2536156,1,4294967294,0,0,0
1758866753.2536156,1,1,1216,4361,0
1758866753.2536156,1,2,1216,4361,0
1758866753.2536156,1,3,1216,4361,0
1758866754.2548509,1,4294967294,0,0,0
1758866754.2548509,1,1,1216,4361,0
1758866754.2548509,1,2,1216,4361,0
1758866754.2548509,1,3,1216,4361,0
1758866755.2560055,1,4294967294,0,0,0
1758866755.2560055,1,1,1216,4361,0
1758866755.2560055,1,2,1216,4361,0
1758866755.2560055,1,3,1216,4361,0
1758866756.2572396,1,4294967294,0,0,0
1758866756.2572396,1,1,1216,4431,0
1758866756.2572396,1,2,1286,4361,0
1758866756.2572396,1,3,1216,4431,0
1758866757.2584069,1,4294967294,0,0,0
1758866757.2584069,1,1,1216,4431,0
1758866757.2584069,1,2,1286,4431,0
1758866757.2584069,1,3,1216,4501,0
1758866758.2597957,1,4294967294,0,0,0
1758866758.2597957,1,1,1216,4501,0
1758866758.2597957,1,2,1286,4431,0
1758866758.2597957,1,3,1216,4501,0
1758866759.2599313,1,4294967294,0,0,0
1758866759.2599313,1,1,1286,4571,0
1758866759.2599313,1,2,1286,4571,0
1758866759.2599313,1,3,1286,4571,0
1758866760.2609985,1,4294967294,0,0,0
1758866760.2609985,1,1,1286,4678,0
1758866760.2609985,1,2,1286,4678,0
1758866760.2609985,1,3,1286,4678,0
1758866761.2619667,1,4294967294,0,0,0
1758866761.2619667,1,1,1286,4678,0
1758866761.2619667,1,2,1286,4678,0
1758866761.2619667,1,3,1286,4678,0
1758866762.2628624,1,4294967294,0,0,0
1758866762.2628624,1,1,1286,4678,0
1758866762.2628624,1,2,1286,4678,0
1758866762.2628624,1,3,1286,4678,0
1758866763.2631567,1,4294967294,0,0,0
1758866763.2631567,1,1,1286,4678,0
1758866763.2631567,1,2,1286,4678,0
1758866763.2631567,1,3,1286,4678,0
1758866764.2638748,1,4294967294,0,0,0
1758866764.2638748,1,1,1286,4678,0
1758866764.2638748,1,2,1286,4678,0
1758866764.2638748,1,3,1286,4678,0
1758866765.2648046,1,4294967294,0,0,0
1758866765.2648046,1,1,1286,4678,0
1758866765.2648046,1,2,1286,4678,0
1758866765.2648046,1,3,1286,4678,0
1758866766.2651246,1,4294967294,0,0,0
1758866766.2651246,1,1,1286,4678,0
1758866766.2651246,1,2,1286,4678,0
1758866766.2651246,1,3,1286,4678,0
1758866767.2661772,1,4294967294,0,0,0
1758866767.2661772,1,1,1286,4678,0
1758866767.2661772,1,2,1286,4678,0
1758866767.2661772,1,3,1286,4678,0
1758866768.2670674,1,4294967294,0,0,0
1758866768.2670674,1,1,1286,4678,0
1758866768.2670674,1,2,1286,4678,0
1758866768.2670674,1,3,1286,4678,0
1758866769.2681234,1,4294967294,0,0,0
1758866769.2681234,1,1,1286,4678,0
1758866769.2681234,1,2,1286,4678,0
1758866769.2681234,1,3,1286,4678,0
1758866770.2692726,1,4294967294,0,0,0
1758866770.2692726,1,1,1286,4678,0
1758866770.2692726,1,2,1286,4678,0
1758866770.2692726,1,3,1286,4678,0
1758866771.2706327,1,4294967294,0,0,0
1758866771.2706327,1,1,1286,4678,0
1758866771.2706327,1,2,1286,4678,0
1758866771.2706327,1,3,1286,4678,0
1758866772.2717779,1,4294967294,0,0,0
1758866772.2717779,1,1,1286,4678,0
1758866772.2717779,1,2,1286,4678,0
1758866772.2717779,1,3,1286,4678,0
1758866773.2730007,1,4294967294,0,0,0
1758866773.2730007,1,1,1286,4678,0
1758866773.2730007,1,2,1286,4678,0
1758866773.2730007,1,3,1286,4678,0
1758866774.2741263,1,4294967294,0,0,0
1758866774.2741263,1,1,1286,4678,0
1758866774.2741263,1,2,1286,4678,0
1758866774.2741263,1,3,1286,4678,0
1758866775.275074,1,4294967294,0,0,0
1758866775.275074,1,1,1286,4678,0
1758866775.275074,1,2,1286,4678,0
1758866775.275074,1,3,1286,4678,0
1758866776.2761014,1,4294967294,0,0,0
1758866776.2761014,1,1,1286,4678,0
1758866776.2761014,1,2,1286,4678,0
1758866776.2761014,1,3,1286,4678,0
1758866777.277325,1,4294967294,0,0,0
1758866777.277325,1,1,1286,4678,0
1758866777.277325,1,2,1286,4678,0
1758866777.277325,1,3,1286,4678,0
1758866778.2787104,1,4294967294,0,0,0
1758866778.2787104,1,1,1286,4678,0
1758866778.2787104,1,2,1286,4678,0
1758866778.2787104,1,3,1286,4678,0
1758866779.2798254,1,4294967294,0,0,0
1758866779.2798254,1,1,1286,4678,0
1758866779.2798254,1,2,1286,4678,0
1758866779.2798254,1,3,1286,4678,0
1758866780.2810295,1,4294967294,0,0,0
1758866780.2810295,1,1,1286,4678,0
1758866780.2810295,1,2,1286,4678,0
1758866780.2810295,1,3,1286,4678,0
1758866781.282149,1,4294967294,0,0,0
1758866781.282149,1,1,1286,4678,0
1758866781.282149,1,2,1286,4678,0
1758866781.282149,1,3,1286,4678,0
1758866782.2833686,1,4294967294,0,0,0
1758866782.2833686,1,1,1286,4678,0
1758866782.2833686,1,2,1286,4678,0
1758866782.2833686,1,3,1286,4678,0
1758866783.2845051,1,4294967294,0,0,0
1758866783.2845051,1,1,1286,4678,0
1758866783.2845051,1,2,1286,4678,0
1758866783.2845051,1,3,1286,4678,0
1758866784.285718,1,4294967294,0,0,0
1758866784.285718,1,1,1286,4678,0
1758866784.285718,1,2,1286,4678,0
1758866784.285718,1,3,1286,4678,0
1758866785.28599,1,4294967294,0,0,0
1758866785.28599,1,1,1286,4678,0
1758866785.28599,1,2,1286,4748,0
1758866785.28599,1,3,1286,4678,0
1758866786.287176,1,4294967294,0,0,0
1758866786.287176,1,1,1286,4748,0
1758866786.287176,1,2,1356,4748,0
1758866786.287176,1,3,1286,4748,0
1758866787.2881062,1,4294967294,0,0,0
1758866787.2881062,1,1,1286,4748,0
1758866787.2881062,1,2,1356,4748,0
1758866787.2881062,1,3,1286,4818,0
1758866788.2892025,1,4294967294,0,0,0
1758866788.2892025,1,1,1286,4748,0
1758866788.2892025,1,2,1356,4748,0
1758866788.2892025,1,3,1286,4818,0
1758866789.2901237,1,4294967294,0,0,0
1758866789.2901237,1,1,1286,4818,0
1758866789.2901237,1,2,1356,4748,0
1758866789.2901237,1,3,1286,4818,0
1758866790.2909822,1,4294967294,0,0,0
1758866790.2909822,1,1,1356,4818,0
1758866790.2909822,1,2,1356,4818,0
1758866790.2909822,1,3,1286,4888,0
1758866791.292143,1,4294967294,0,0,0
1758866791.292143,1,1,1356,4818,0
1758866791.292143,1,2,1356,4818,0
1758866791.292143,1,3,1286,4888,0
1758866792.292892,1,4294967294,0,0,0
1758866792.292892,1,1,1356,4925,0
1758866792.292892,1,2,1356,4925,0
1758866792.292892,1,3,1286,4995,0
1758866793.2937546,1,4294967294,0,0,0
1758866793.2937546,1,1,1356,4925,0
1758866793.2937546,1,2,1356,4925,0
1758866793.2937546,1,3,1286,4995,0
1758866794.2943766,1,4294967294,0,0,0
1758866794.2943766,1,1,1356,4925,0
1758866794.2943766,1,2,1356,4925,0
1758866794.2943766,1,3,1286,4995,0
1758866795.2954895,1,4294967294,0,0,0
1758866795.2954895,1,1,1356,4925,0
1758866795.2954895,1,2,1356,4925,0
1758866795.2954895,1,3,1286,4995,0
1758866796.2957432,1,4294967294,0,0,0
1758866796.2957432,1,1,1356,4995,0
1758866796.2957432,1,2,1356,4995,0
1758866796.2957432,1,3,1356,4995,0
1758866797.2967653,1,4294967294,0,0,0
1758866797.2967653,1,1,1356,4995,0
1758866797.2967653,1,2,1356,4995,0
1758866797.2967653,1,3,1356,4995,0
1758866798.2976522,1,4294967294,0,0,0
1758866798.2976522,1,1,1356,4995,0
1758866798.2976522,1,2,1356,4995,0
1758866798.2976522,1,3,1356,4995,0
1758866799.2986398,1,4294967294,0,0,0
1758866799.2986398,1,1,1356,4995,0
1758866799.2986398,1,2,1356,4995,0
1758866799.2986398,1,3,1356,4995,0
1758866800.299645,1,4294967294,0,0,0
1758866800.299645,1,1,1356,4995,0
1758866800.299645,1,2,1356,4995,0
1758866800.299645,1,3,1356,4995,0
1758866801.300239,1,4294967294,0,0,0
1758866801.300239,1,1,1356,4995,0
1758866801.300239,1,2,1356,4995,0
1758866801.300239,1,3,1356,4995,0
1758866802.3011436,1,4294967294,0,0,0
1758866802.3011436,1,1,1356,4995,0
1758866802.3011436,1,2,1356,4995,0
1758866802.3011436,1,3,1356,4995,0
1758866803.3023214,1,4294967294,0,0,0
1758866803.3023214,1,1,1356,4995,0
1758866803.3023214,1,2,1356,4995,0
1758866803.3023214,1,3,1356,4995,0
1758866804.3034668,1,4294967294,0,0,0
1758866804.3034668,1,1,1356,4995,0
1758866804.3034668,1,2,1356,4995,0
1758866804.3034668,1,3,1356,4995,0
1758866805.3045762,1,4294967294,0,0,0
1758866805.3045762,1,1,1356,4995,0
1758866805.3045762,1,2,1356,4995,0
1758866805.3045762,1,3,1356,4995,0
1758866806.305728,1,4294967294,0,0,0
1758866806.305728,1,1,1356,4995,0
1758866806.305728,1,2,1356,4995,0
1758866806.305728,1,3,1356,4995,0
1758866807.3067715,1,4294967294,0,0,0
1758866807.3067715,1,1,1356,4995,0
1758866807.3067715,1,2,1356,4995,0
1758866807.3067715,1,3,1356,4995,0
1758866808.307981,1,4294967294,0,0,0
1758866808.307981,1,1,1356,4995,0
1758866808.307981,1,2,1356,4995,0
1758866808.307981,1,3,1356,4995,0
1758866809.3090894,1,4294967294,0,0,0
1758866809.3090894,1,1,1356,4995,0
1758866809.3090894,1,2,1356,4995,0
1758866809.3090894,1,3,1356,4995,0
1758866810.3102188,1,4294967294,0,0,0
1758866810.3102188,1,1,1356,4995,0
1758866810.3102188,1,2,1356,4995,0
1758866810.3102188,1,3,1356,4995,0
1758866811.3112895,1,4294967294,0,0,0
1758866811.3112895,1,1,1356,4995,0
1758866811.3112895,1,2,1356,4995,0
1758866811.3112895,1,3,1356,4995,0
1758866812.31257,1,4294967294,0,0,0
1758866812.31257,1,1,1356,4995,0
1758866812.31257,1,2,1356,4995,0
1758866812.31257,1,3,1356,4995,0
1758866813.3136866,1,4294967294,0,0,0
1758866813.3136866,1,1,1356,4995,0
1758866813.3136866,1,2,1356,4995,0
